CD,Misc,PMID,label,title,abstract
CD012164,0,16650207,0,Preventing venous ulcer recurrence: a review.,"This review article examines the available evidence on both the primary and secondary prevention of venous ulceration, exploring both the individual, social and financial implications of system failures that allow patients to remain at increased risk of recurrent ulceration. The role of both venous disease assessment and corrective superficial venous surgery are discussed in the light of recently published randomised controlled studies on the role of superficial venous surgery as both an adjunct to ulcer healing and ulcer prevention."
CD012164,0,9615161,0,Classic versus endoscopic perforating vein surgery: a retrospective study.,"In this retrospective non-randomized study the results of the FELDER technique (n = 29) were compared to two endoscopic techniques for ligation of incompetent perforating veins: using a mediastinoscope (n = 19) and laparoscopic instruments (n = 57). The indication was a venous ulcer in nine, five and thirteen patients respectively, lipodermatosclerosis in thirteen, five and twenty-four, and simple varicose veins in the remaining patients (NS)."
CD012164,0,25775200,0,"Treatment options for venous leg ulcers: effectiveness of vascular surgery, bioengineered tissue, and electrical stimulation.",To evaluate the peer-reviewed literature that compares advanced venous leg ulcer therapies to standard of care with compression dressings.
CD012164,0,27814432,0,Pharmacomechanical thrombectomy for iliofemoral deep vein thrombosis.,"Deep venous thrombosis (DVT) occurs in approximately one in 1000 adults every year, and has an annual mortality of 14.6%. In particular, iliofemoral DVT can lead to recurrent thrombosis and post-thrombotic syndrome (PTS), a painful condition which can lead to chronic venous insufficiency, oedema, and ulceration. It causes significant disability, impaired quality of life, and economic burden. Early thrombus removal techniques have been advocated in patients with an iliofemoral DVT in order to improve vein patency, prevent valvular dysfunction, and reduce future complications, such as post-thrombotic syndrome and venous ulceration. One such technique is pharmacomechanical thrombectomy, a combination of catheter-based thrombectomy and catheter-directed thrombolysis."
CD012164,0,26294281,0,"The impact of hand reflexology on pain, anxiety and satisfaction during minimally invasive surgery under local anaesthetic: a randomised controlled trial.",Elevated patient anxiety during surgery is linked to a range of suboptimal treatment outcomes. Reflexology has been reported to be effective in reducing pre and post-operative anxiety and post-operative pain.
CD012164,0,18675558,0,The role of superficial venous surgery in the management of venous ulcers: a systematic review.,The complicated natural history of venous ulcers requires the continued development and improvement of treatments to ensure the most effective management. Compression therapy or surgical correction of superficial venous incompetence (SVI) are currently the main methods employed for the treatment for venous ulceration (VU). This review compares and summates the healing and recurrence rates for each treatment modality used over the last thirty years.
CD012164,0,19036540,0,[Preventing high-risk diabetic foot ulceration by a new method of custom-made shoes in high-risk patients. Prospective study].,The efficacy of custom-made shoes to prevent diabetic foot ulcerations is still unsatisfactory and specific conception is lacking.
CD012164,0,22352682,0,Adult stem cells and the clinical arena: are we able to widely use this therapy in patients with chronic limbs arteriopathy and ischemic ulcers without possibility of revascularization?,"The following paper is an overview on stem cells therapy in patients with peripheral vascular diseases. Recent research shows the ability of stem cells to develop and strengthen the collateral network in ischemic legs. Here, we discuss this clinical and therapeutic approach. To date, research has been mainly focused on patients with ischemic ulcers without possibility of revascularization. Non-invasive stem cell therapy has been proposed as an alternative to the amputation of such patients, but when the ulcers appear it is sometime too late. In our point of view, the selection of patients is a very important issue and we believe that the best candidate for this treatment is the patient with intermittent claudication before the development of ulcers. This choice could allow the optimization of results by the type of treated patients and not only by the type of infused cells. Indeed, several variables still remain to be elucidated for stem cell therapy, including the type of cells to be used, the infusion route, and more importantly, the stage of patients to be treated."
CD012164,0,9423722,1,Endoscopic versus open subfascial division of incompetent perforating veins in the treatment of venous leg ulceration: a randomized trial.,"Subfascial division of incompetent perforating veins plays an important role in the surgical treatment of patients with venous ulceration of the lower leg. To minimize the high incidence of postoperative wound complications after open exploration, endoscopic approaches have recently been developed. We carried out a prospective, randomized comparison of open and endoscopic treatment of these patients that was aimed at ulcer healing and postoperative wound complications."
CD012164,0,26993193,0,Comparative effectiveness of surgical interventions aimed at treating underlying venous pathology in patients with chronic venous ulcer.,"Chronic venous ulcers (CVUs) remain the leading causes for nonhealing wounds in the lower extremities. Although multilayer compression dressing remains the treatment gold standard, there are various surgical procedures aimed at healing CVUs with little or no evidence on the efficacy of these treatment methods. We conducted a systematic review of the effects of various surgical treatments for CVUs, in terms of ulcer healing rates, complete time to heal, recurrence rates, mortality, pain, and quality of life."
